front_index,volume_m3,head_m,pipe_diameter_m,pump_power_kw,turbine_power_kw,efficiency,cost,ml_autonomy_days,location,pv_kwp,daily_energy_kwh,required_autonomy_days,budget_lkr,reservoir_type
41,436.68812813978496,38.74030945685665,0.22483839558260077,2.129146128180224,2.028771594776093,76.1787109375,4680854.564847957,0.40458914637565613,Colombo,30.0,50.0,0.4,8000000.0,new_tank
42,436.13599717488086,38.38343784879908,0.22825331934851467,2.1145817422845736,2.0297274997669463,76.17872619628906,4687780.882837819,0.40193939208984375,Colombo,30.0,50.0,0.4,8000000.0,new_tank
43,435.7953869110778,38.36713970751096,0.23258521825323406,2.1148967847182205,2.0065415417215666,76.1795883178711,4708785.070156805,0.40193939208984375,Colombo,30.0,50.0,0.4,8000000.0,new_tank
44,436.01171415840327,38.472479786176436,0.2329608219138706,2.13463034264809,2.0110604492003046,76.18064880371094,4715361.576429825,0.40258997678756714,Colombo,30.0,50.0,0.4,8000000.0,new_tank
45,436.6767508788923,38.44136073283168,0.2336119256452769,2.129146128180224,2.0284980873929794,76.18663787841797,4723861.191208789,0.40258997678756714,Colombo,30.0,50.0,0.4,8000000.0,new_tank
46,449.28452562001246,37.17032763861884,0.22475860922038426,2.1318911943289662,2.0435574072627425,76.20977020263672,4744726.741443523,0.401978999376297,Colombo,30.0,50.0,0.4,8000000.0,new_tank
47,449.56004398658735,38.29171453304188,0.2248235931340975,2.1173854130525984,2.0453557770989503,76.21427154541016,4771595.430210545,0.4129495918750763,Colombo,30.0,50.0,0.4,8000000.0,new_tank
48,449.6093338980983,38.28986720782986,0.22475860922038426,2.1107535152710146,2.1022624326736654,76.21487426757812,4772729.70750334,0.4129495918750763,Colombo,30.0,50.0,0.4,8000000.0,new_tank
49,449.56004398658735,38.58149655374795,0.2248235931340975,2.1216643437259233,2.039422332815617,76.22132873535156,4777846.642120654,0.41559934616088867,Colombo,30.0,50.0,0.4,8000000.0,new_tank
50,456.8503013502562,37.71445199168792,0.22604580260694837,2.133810263213658,2.005198934749602,76.25106811523438,4821898.508856962,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
51,456.83901622497274,37.70840687557551,0.23066916528689163,2.133810263213658,2.005306813611444,76.2519302368164,4847287.2445954215,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
52,457.1791047209736,38.3783709683987,0.2299903128785818,2.1134017482858223,2.010663802761645,76.25591278076172,4861186.60676726,0.4245412051677704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
53,456.8529960840463,38.290415441999016,0.2326003800338448,2.118657968065789,2.010663802761645,76.25677490234375,4871489.329922431,0.4245412051677704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
54,456.7912188857403,38.23938404637208,0.2334760489058607,2.1368508839584943,2.0121301105505442,76.2578353881836,4875044.201589433,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
55,456.7912188857403,38.62713487917268,0.2334760489058607,2.119173182734922,2.0121301105505442,76.25823974609375,4883804.335686486,0.42719095945358276,Colombo,30.0,50.0,0.4,8000000.0,new_tank
56,456.4556944625206,40.30772381019885,0.23419884602749488,2.1368508839584943,2.0121301105505442,76.2589111328125,4924572.095277121,0.43309664726257324,Colombo,30.0,50.0,0.4,8000000.0,new_tank
57,456.82468744262593,41.52861131502171,0.23153340385042642,2.1336883217506766,2.001495158965182,76.27116394042969,4939120.39407499,0.4415636360645294,Colombo,30.0,50.0,0.4,8000000.0,new_tank
58,456.8503013502562,37.71445199168792,0.25415590721682,2.133810263213658,2.0646278988063016,76.30459594726562,4982833.058923916,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
59,456.8529960840463,38.290415441999016,0.2528167536563264,2.133810263213658,2.010663802761645,76.31609344482422,4988875.527225063,0.4245412051677704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
60,457.4320508333648,38.472479786176436,0.25663060794492143,2.1186943804100205,2.0396441391122524,76.32020568847656,5021348.706781098,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
61,457.4320508333648,38.47198871724268,0.268738076887923,2.1184105478270183,2.0394523068645367,76.32389831542969,5094707.204206957,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
62,456.7896049644274,38.472479786176436,0.2691249805953085,2.1198870797323877,2.1661330026245462,76.32598114013672,5094836.143479555,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
63,457.4320508333648,38.472479786176436,0.2691738221378132,2.1186940180621043,2.0396441391122524,76.33203125,5097400.959623296,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
64,456.8805154446968,37.70883424762377,0.27636996253218093,2.134396713993071,2.0381860931380915,76.33834075927734,5114956.917876865,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
65,456.4556944625206,38.472793657147406,0.2747706027055866,2.1375852382542297,2.0121301105505442,76.33928680419922,5123933.539506841,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
66,456.7896049644274,38.47228189875994,0.27730333462886236,2.1339762133083906,2.0385561529822334,76.34037017822266,5142787.886037763,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
67,456.6385863404248,42.74735103783829,0.25569145298602936,2.1346007839972483,6.294724742166187,76.34443664550781,5214890.616606724,0.4538922607898712,Colombo,30.0,50.0,0.4,8000000.0,new_tank
68,457.4143694818085,38.26931635590193,0.27518092477140293,2.118709607017187,6.142989112962606,76.3448257446289,5216945.832418549,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
69,459.84221332137867,38.2397129463586,0.274154957091738,2.154488462320777,6.3807791346126255,76.34774780273438,5234235.753115911,0.41926056146621704,Colombo,30.0,50.0,0.4,8000000.0,new_tank
70,460.72937960840267,38.57815858574503,0.27569872800982137,2.1240873936268736,6.279732757005122,76.34815216064453,5258176.618022611,0.42719095945358276,Colombo,30.0,50.0,0.4,8000000.0,new_tank
71,460.9745585795061,38.472479786176436,0.27624755487025754,2.122836152313951,6.2523485422368985,76.34883117675781,5259757.72006409,0.4251917898654938,Colombo,30.0,50.0,0.4,8000000.0,new_tank
72,457.4143694818085,41.5190999736934,0.27518092477140293,2.118709607017187,6.274412115350316,76.3528060913086,5315914.125985682,0.4415636360645294,Colombo,30.0,50.0,0.4,8000000.0,new_tank
73,457.5544772596801,41.50085157810104,0.27758673925817734,2.1193345356109776,6.269209998174772,76.35388946533203,5332495.982311711,0.4415636360645294,Colombo,30.0,50.0,0.4,8000000.0,new_tank
