front_index,volume_m3,head_m,pipe_diameter_m,pump_power_kw,turbine_power_kw,efficiency,cost,ml_autonomy_days,location,pv_kwp,daily_energy_kwh,required_autonomy_days,budget_lkr,reservoir_type
23,484.10255276841417,38.43505771129713,0.20145946156225125,2.0494172368297177,2.007184507880948,76.16464233398438,4915134.992796417,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
24,484.0846569505381,38.6115347876715,0.20126769805082628,2.1593016899368305,2.013641996390812,76.16504669189453,4918649.465821966,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
25,484.0846569505381,39.86864336772228,0.20126769805082628,2.1620569547842057,2.013641996390812,76.1666030883789,4941941.163908781,0.7626155018806458,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
26,484.3276769017611,38.46206831514676,0.20853559017752485,2.0681826956973834,2.013606862732816,76.28080749511719,4955622.2969024405,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
27,484.3276769017611,38.57463134408046,0.20853559017752485,2.1599968856591945,2.013606862732816,76.28121185302734,4958876.546175606,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
28,483.9005983954177,38.44706707762115,0.2122580836651295,2.170594160296081,2.046707504263726,76.32482147216797,4974071.2674626615,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
29,484.0506397759925,38.68736376837805,0.21177406997083473,2.036521398916895,2.012616836909144,76.33877563476562,4975125.774564994,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
30,484.0470478917673,38.55872124399082,0.21654644509692542,2.1192835125145906,2.008584850373942,76.34333038330078,4999570.298048843,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
31,484.10255276841417,38.43507134686828,0.2179505287226829,2.049115763189543,2.0087805118144346,76.35052490234375,5004377.392320078,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
32,485.81516488058304,38.57548570604294,0.21793387161796787,2.165847742685068,2.009190454037801,76.3509292602539,5021924.849093417,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
33,483.4953687438558,39.932900455361164,0.21760645529785022,2.0812444250569935,2.013739090530933,76.35248565673828,5029377.881249289,0.7626155018806458,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
34,484.2313494630491,38.53017911512282,0.2228926193464406,2.117483543791836,2.0085747227194446,76.37386322021484,5035627.298941361,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
35,483.41526356702224,38.42932781434,0.22470065721555008,2.0329994297958045,2.0136162189227886,76.40789031982422,5036326.060430993,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
36,483.41526356702224,38.42932781434,0.22470065721555008,2.0497706349788274,2.0136162189227886,76.40921020507812,5036519.264714701,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
37,483.4098510688455,38.66824268605403,0.22470065721555008,2.1607953557177897,2.009191140495013,76.40961456298828,5042875.114787903,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
38,484.0778385905801,38.58864881107085,0.2258075841502553,2.0547193963333155,2.02889326751507,76.41781616210938,5051783.077314819,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
39,484.10255276841417,40.43681115045209,0.225829956093864,2.0499776712862277,2.0085857876914894,76.41848754882812,5092251.838222291,0.7693780064582825,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
40,493.25597736825125,38.42642608427924,0.22464034447226666,2.1641207035120384,2.0203572146881905,76.42952728271484,5114338.757397898,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
41,493.13696378842707,38.588857980051294,0.2258075841502553,2.0528003617747483,2.02889326751507,76.4381332397461,5122426.745756363,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
42,493.2303785613135,40.39713943915282,0.22587677313477394,2.1017220666684655,2.0107807715194643,76.43880462646484,5163496.2314137,0.7693780064582825,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
43,494.27508753348104,41.65873359555831,0.22460499826632202,2.119584260461723,2.0136512352602276,76.44073486328125,5191936.538487336,0.7925459742546082,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
44,493.0105897005992,41.70031712232873,0.22670707370110507,2.0682954395970925,2.0117623372633022,76.44731903076172,5195147.874363042,0.7925459742546082,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
45,493.3769456252274,42.717550355696034,0.224673022864592,2.1211549385176047,2.0116041256339106,76.45069885253906,5208423.611056156,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
46,492.9207339228163,42.81078980748577,0.22632499303935366,2.0699376914107646,2.0137367303515203,76.45728302001953,5216678.616068656,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
47,492.02260766273815,38.73748964532764,0.2565370656513943,2.051049018413746,2.0205708608607478,76.4771499633789,5296459.528113291,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
48,492.5839981178252,38.771818510598116,0.26710387738770996,2.049080509815062,2.011278818867585,76.48111724853516,5365963.868863725,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
49,492.47148675237537,38.601211928162755,0.2691051589117979,2.173244274985124,2.011278818867585,76.48799133300781,5373985.567412312,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
50,492.2825399645971,38.811466272467634,0.2732466169994584,2.1742199614806412,2.013608609030694,76.4923324584961,5404315.778013002,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
51,493.2519172141673,42.81079128202758,0.2563320587990775,2.056768466868099,2.020724584813297,76.4952392578125,5413205.56752961,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
52,493.2567487535721,38.4265328362881,0.28369844583843173,2.071065894641747,2.010874542010032,76.49610137939453,5464544.638094415,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
53,492.98292704874734,38.57552313788381,0.2833454443173316,2.158458848666469,2.0135421988344624,76.49650573730469,5465857.907186257,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
54,493.0914345325686,42.81078980748577,0.2655597010833387,2.0486081946143813,2.011257535859575,76.49745178222656,5473682.1322053615,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
55,493.058477833514,42.73185752287745,0.26688341352785255,2.1215703256856298,2.009212054727333,76.49920654296875,5480978.786459949,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
56,492.38130143800817,42.612376324906315,0.26977983502114594,2.121550753509836,2.011055065595214,76.5045166015625,5492012.405065359,0.8023991584777832,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
57,494.9388204864962,42.810583678473435,0.2732604166435887,2.0458688460156025,2.013522338446926,76.50812530517578,5540699.201963495,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
58,494.7307645085398,42.81435886068183,0.28076754287906014,2.121794687217991,2.0392751153188056,76.51050567626953,5592614.634804698,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
